// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:17 (17.11 sec)   *****
// Found 8 benchmarks:
//   BenchMarkDto.Min: .NET 6.0(Runtime=.NET 6.0) [Size=100]
//   BenchMarkDto.Max: .NET 6.0(Runtime=.NET 6.0) [Size=100]
//   BenchMarkDto.Average: .NET 6.0(Runtime=.NET 6.0) [Size=100]
//   BenchMarkDto.Sum: .NET 6.0(Runtime=.NET 6.0) [Size=100]
//   BenchMarkDto.Min: .NET 7.0(Runtime=.NET 7.0) [Size=100]
//   BenchMarkDto.Max: .NET 7.0(Runtime=.NET 7.0) [Size=100]
//   BenchMarkDto.Average: .NET 7.0(Runtime=.NET 7.0) [Size=100]
//   BenchMarkDto.Sum: .NET 7.0(Runtime=.NET 7.0) [Size=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchMarkDto.Min: .NET 6.0(Runtime=.NET 6.0) [Size=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 04925cf5-ea13-485b-aa47-4a1dc949174e.dll --anonymousPipes 1372 1376 --benchmarkName "LinqPerformance.BenchMarkDto.Min(Size: 100)" --job ".NET 6.0" --benchmarkId 0 in D:\Lessons\DotNetDos\LinqPerformance\bin\Release\net6.0\04925cf5-ea13-485b-aa47-4a1dc949174e\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.18 (6.0.1823.26907), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: .NET 6.0

OverheadJitting  1: 1 op, 168000.00 ns, 168.0000 us/op
WorkloadJitting  1: 1 op, 299000.00 ns, 299.0000 us/op

OverheadJitting  2: 16 op, 304400.00 ns, 19.0250 us/op
WorkloadJitting  2: 16 op, 279300.00 ns, 17.4563 us/op

WorkloadPilot    1: 16 op, 8900.00 ns, 556.2500 ns/op
WorkloadPilot    2: 32 op, 15700.00 ns, 490.6250 ns/op
WorkloadPilot    3: 64 op, 28200.00 ns, 440.6250 ns/op
WorkloadPilot    4: 128 op, 60700.00 ns, 474.2188 ns/op
WorkloadPilot    5: 256 op, 121100.00 ns, 473.0469 ns/op
WorkloadPilot    6: 512 op, 235200.00 ns, 459.3750 ns/op
WorkloadPilot    7: 1024 op, 468700.00 ns, 457.7148 ns/op
